PlayerID,Age,Gender,Location,GameGenre,PlayTimeHours,InGamePurchases,GameDifficulty,SessionsPerWeek,AvgSessionDurationMinutes,PlayerLevel,AchievementsUnlocked,EngagementLevel
16976,15,Male,Europe,Sports,21.60856548239085,0,Easy,9,163,58,8,High
36300,37,Male,Europe,RPG,13.785629939601517,0,Easy,3,153,16,29,Medium
22585,49,Female,USA,RPG,5.426544423376543,0,Hard,19,146,2,39,High
28771,26,Female,Asia,Sports,9.859224825868964,0,Easy,14,43,87,11,Medium
33482,42,Male,Asia,Strategy,20.705156803300422,0,Easy,2,144,67,22,Medium
30102,41,Female,Asia,RPG,10.036396208314637,0,Easy,12,91,88,41,Medium
27201,25,Male,Europe,Simulation,6.682429716226029,0,Medium,1,74,39,13,Low
34591,30,Female,Asia,Simulation,1.280664334402692,1,Easy,8,88,61,34,Medium
16949,15,Male,Europe,Sports,23.323801370363324,0,Hard,3,14,75,13,Medium
32845,26,Male,Europe,Sports,13.008714825853136,0,Medium,14,117,14,44,High
48912,16,Male,Europe,Simulation,18.234193288044448,0,Medium,0,101,7,37,Low
18822,37,Male,Asia,Strategy,6.814824245576292,0,Medium,17,77,80,43,High
12399,41,Female,Asia,Strategy,1.5091714445173323,0,Easy,5,50,23,34,Low
24153,37,Male,Europe,Strategy,11.403672412018215,0,Easy,2,136,44,43,Medium
22951,31,Female,Europe,Simulation,21.0310866463647,0,Easy,3,27,80,30,High
12536,43,Male,USA,Strategy,12.978562137439576,0,Medium,5,94,86,12,Medium
43649,46,Male,Other,Simulation,19.979092118554707,1,Hard,2,100,84,38,Medium
42216,49,Male,USA,RPG,3.034440771307276,0,Easy,4,40,48,41,Low
30813,18,Male,USA,Strategy,0.101113999627203,0,Medium,1,67,25,34,Low
20303,46,Male,USA,RPG,20.854320728889164,1,Medium,11,17,6,39,Low
40166,40,Female,Other,Sports,8.367311959257666,0,Easy,8,74,80,5,Medium
48794,21,Male,Asia,Action,1.8256931197613195,0,Medium,15,69,37,21,High
37980,31,Female,USA,Sports,16.086263364358654,0,Easy,6,143,61,21,Medium
23312,35,Male,Other,RPG,17.87305513656799,0,Easy,13,76,94,7,Medium
41235,34,Female,USA,Sports,17.60527832317576,0,Easy,14,13,46,32,High
22436,47,Male,USA,Sports,3.742457125171829,1,Medium,16,57,83,15,Medium
27953,21,Male,Europe,Simulation,4.580335879657169,0,Easy,11,36,8,47,Medium
47407,46,Male,Asia,Simulation,23.470750894367654,0,Hard,19,84,62,49,High
24058,27,Male,Europe,Strategy,8.183140649364665,0,Easy,17,30,61,8,Medium
17603,30,Male,USA,Simulation,3.253241119262844,0,Hard,18,21,93,31,Medium
22458,40,Female,Europe,Strategy,17.80715202897585,0,Medium,17,163,86,39,High
31562,29,Female,Other,Simulation,16.821212120617254,0,Easy,6,139,69,37,Medium
30626,19,Male,Europe,Action,5.884387642435529,0,Medium,5,33,46,11,Low
31016,18,Male,Asia,Simulation,12.773265991930828,0,Easy,19,56,49,42,Medium
29229,43,Male,Europe,Sports,19.75275793772033,0,Hard,18,63,25,5,Medium
20058,27,Male,Europe,Action,0.5307115349092619,0,Easy,5,53,21,16,Low
17743,43,Male,Asia,Sports,10.7138999526397,1,Medium,5,159,70,0,Medium
42199,16,Male,USA,Sports,14.911409537816589,0,Easy,14,94,95,38,High
46118,22,Male,Europe,Action,17.883875818171703,0,Medium,17,111,56,45,High
45750,18,Male,Asia,Sports,23.021716172749915,0,Hard,12,164,99,11,High
22900,49,Male,Other,Simulation,15.558397621131224,0,Medium,7,161,88,30,Medium
45151,20,Male,USA,Simulation,17.863135389488534,0,Easy,15,109,9,34,High
40082,21,Male,USA,Strategy,3.671164822911095,1,Easy,2,163,31,48,Medium
27326,43,Female,Asia,Simulation,11.952123096795797,0,Medium,1,66,38,16,Low
36031,45,Male,Other,Simulation,3.854601176756224,0,Easy,10,117,75,9,Medium
22217,17,Male,Asia,Sports,4.253749451057629,1,Medium,0,164,50,28,Low
37077,45,Male,Europe,RPG,11.956836378552405,0,Hard,1,89,17,8,Low
36289,18,Male,Asia,Sports,7.577108804260376,0,Easy,18,29,10,19,Medium
17968,39,Female,USA,RPG,19.795869264030756,0,Easy,5,133,43,26,Medium
45012,37,Male,USA,Simulation,16.48840042894653,0,Easy,9,102,66,46,Medium
27469,29,Male,Europe,Strategy,15.968429668814755,0,Hard,10,23,40,23,Medium
35773,29,Male,USA,Simulation,16.633555864306633,0,Easy,10,74,40,33,Medium
42408,21,Female,Asia,Sports,1.2025558811724189,0,Easy,5,122,62,8,Medium
16440,18,Male,USA,Strategy,17.73221572580949,0,Easy,11,93,42,31,Medium
26140,33,Male,Asia,Action,0.4489280144860315,0,Medium,4,113,16,49,Medium
12187,28,Female,Europe,Strategy,21.902864368212214,0,Easy,18,144,80,30,High
39131,24,Male,USA,RPG,9.952038216854184,1,Medium,8,163,31,41,Medium
